WORD,BROWN_FREQ,WORD_CATEGORY
CHAMELEON        ,1,N
CRITERION        ,1,N
CUMULATIVE       ,1,J
DISPARITY        ,1,N
DISSERTATION     ,1,N
HIERARCHY        ,1,N
KINGFISHER       ,1,N
LEARNT           ,1,V
TUSK             ,1,N
ASSESS           ,2,V
BASTARD          ,2,N
CONTROLLER       ,2,N
FOLKLORE         ,2,N
MATHEMATICIAN    ,2,N
NOUN             ,2,N
PHILOLOGY        ,2,N
PLURAL           ,2,J
PLURAL           ,2,N
PROJECTOR        ,2,N
SYNTHESIS        ,2,N
CAROL            ,3,N
CAROL            ,3,V
DEBATABLE        ,3,J
ESPIONAGE        ,3,N
GENERALIZE       ,3,V
INNOCUOUS        ,3,J
MULTIPLE         ,3,J
MULTIPLE         ,3,N
PAROCHIAL        ,3,J
PATHOLOGICAL     ,3,J
PENCE            ,3,N
ABSTRUSE         ,4,J
BIBLIOGRAPHY     ,4,N
CAUSEWAY         ,4,N
DISTORTION       ,4,N
IMAGERY          ,4,N
LINGUISTIC       ,4,J
PRIORITY         ,4,N
PRONUNCIATION    ,4,N
SATIRICAL        ,4,J
SIXPENCE         ,4,N
SYMBOLICAL       ,4,J
BIOGRAPHICAL     ,5,J
CREDIBLE         ,5,J
CYST             ,5,N
DISC             ,5,N
IDIOM            ,5,N
INFINITY         ,5,N
JARGON           ,5,N
LOOPHOLE         ,5,N
POSTERITY        ,5,N
PROLOGUE         ,5,N
SCEPTICAL        ,5,J
ASTRONOMY        ,6,N
COLLEGIATE       ,6,J
EARTHY           ,6,J
HEADLAND         ,6,N
PHENOMENAL       ,6,J
SCURVY           ,6,J
SCURVY           ,6,N
SELECTIVE        ,6,J
VERB             ,6,N
ANTIPATHY        ,7,N
CENTRE           ,7,N
CENTRE           ,7,V
CLINICAL         ,7,J
COMMUNAL         ,7,J
CONTEXT          ,7,N
CONVEX           ,7,J
DEPARTMENTAL     ,7,J
GIST             ,7,N
HORNY            ,7,J
KANGAROO         ,7,N
MARGINAL         ,7,J
RAINFALL         ,7,N
REFERENDUM       ,7,N
SMATTERING       ,7,N
SOLILOQUY        ,7,N
TERMINOLOGY      ,7,N
UPHELD           ,7,V
YEA              ,7,N
ANALOGY          ,8,N
EXPLANATORY      ,8,J
OINTMENT         ,8,N
QUID             ,8,N
STAID            ,8,J
SUPER            ,8,J
SUPER            ,8,N
ALPHABET         ,9,N
BOTANY           ,9,N
DRAMATIST        ,9,N
DRAUGHT          ,9,N
HARANGUE         ,9,N
HARANGUE         ,9,V
PHYSICS          ,9,N
REALIST          ,9,N
UNHEALTHY        ,9,J
UNRELIABLE       ,9,J
VICEROY          ,9,N
WEDLOCK          ,9,N
WOOLLY           ,9,J
WOOLLY           ,9,N
ABSTRACT         ,10,J
ABSTRACT         ,10,N
ABSTRACT         ,10,V
CHARMER          ,10,N
FERRET           ,10,N
FERRET           ,10,V
IMPERFECT        ,10,J
IMPERFECT        ,10,N
IMPRACTICABLE    ,10,J
INEXCUSABLE      ,10,J
MODERNIST        ,10,N
OVERGROWN        ,10,V
PHYSIOLOGICAL    ,10,J
PREHISTORIC      ,10,J
COLLABORATION    ,11,N
COMMITMENT       ,11,N
DAGGER           ,11,N
HEYDAY           ,11,N
PERSUASIVE       ,11,J
SOCIOLOGY        ,11,N
WIRING           ,11,N
ANATOMY          ,12,N
ASS              ,12,N
CALLING          ,12,N
ENTERTAINING     ,12,J
EQUITY           ,12,N
EXAMINER         ,12,N
INCOMPREHENSIBLE ,12,J
INTERCHANGE      ,12,N
INTERCHANGE      ,12,V
MALARIA          ,12,N
MALIGNANT        ,12,J
SATIRE           ,12,N
THESIS           ,12,N
BATTALION        ,13,N
CLAUSE           ,13,N
CONTINUATION     ,13,N
DOWNFALL         ,13,N
FLEXIBILITY      ,13,N
FORESTRY         ,13,N
ILLOGICAL        ,13,J
LAVATORY         ,13,N
MEDIOCRE         ,13,J
PREGNANT         ,13,J
PURPORT          ,13,N
PURPORT          ,13,V
RECORDER         ,13,N
TRUSTWORTHY      ,13,J
ARBITRARY        ,14,J
BALLET           ,14,N
COMMUTE          ,14,V
COVENANT         ,14,N
COVENANT         ,14,V
INSURRECTION     ,14,N
INTEGRAL         ,14,J
INTEGRAL         ,14,N
LIGHTER          ,14,N
MUM              ,14,N
OPTION           ,14,N
PENINSULA        ,14,N
RATIO            ,14,N
REPLACEMENT      ,14,N
SUMMARY          ,14,J
SUMMARY          ,14,N
TELEVISION       ,14,N
WIGGLE           ,14,V
